#group,false,false,false,false
#datatype,string,long,string,double
#default,_result,,,
,result,table,name,_value
,,0,F12P7DC1R3U75PL,117.69999999999871
,,0,F12P7DC1R2F83PL,116.39999999999836
,,0,F12P7DC1R2H94PL,116.39999999999746
,,0,F12P7DC1R3L78PL,115.39999999999853
,,0,F12P7DC1R3J78PR,115.29999999999974
,,0,F12P7DC1R3F67PL,112.7999999999982
,,0,F12P7DC1R2N91PR,112.69999999999806
,,0,F12P7DC1R2X86PR,112.59999999999961
,,0,F12P7DC1R3E78PR,111.89999999999806
,,0,F12P7DC1R2I86PR,111.79999999999819
,,0,F12P7DC1R2O91PL,111.59999999999816
,,0,F12P7DC1R2G83PR,110.49999999999835
,,0,F12P7DC1R1F102PL,109.99999999999838
,,0,F12P7DC1R2W91PR,109.8999999999986
,,0,F12P7DC1R2H94PR,108.29999999999926
,,0,F12P7DC1R2O86PR,107.09999999999862
,,0,F12P7DC1R3J75PR,106.49999999999967
,,0,F12P7DC1R3Z70PR,106.49999999999854
,,0,F12P7DC1R2W94PR,106.29999999999852
,,0,F12P7DC1R2X94PL,106.09999999999823
,,0,F12P7DC1R2X94PR,105.69999999999854
,,0,F12P7DC1R2Z94PR,105.29999999999858
,,0,F12P7DC1R2K91PL,104.39999999999866
,,0,F12P7DC1R2W91PL,102.69999999999888
,,0,F12P7DC1R2L91PL,101.99999999999851
,,0,F12P7DC1R2T94PL,100.89999999999858
,,0,F12P7DC1R3F67PR,100.69999999999902
,,0,F12P7DC1R2O83PL,100.09999999999864
