#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bank,name
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:40:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:00:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:10:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:20:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:30:00Z,8.2,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:40:00Z,5.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T23:50:00Z,5.9,current,pdu,L1-1,F12P7DC1R1E110PR

